(ep: 7, it: 16600, t: 0.057[s], ept: 0.26/2.34[h]) loss_total: 0.498, acc_r: 0.780
(ep: 7, it: 21600, t: 0.057[s], ept: 0.33/2.34[h]) loss_total: 0.466, acc_r: 0.720
(ep: 7, it: 26600, t: 0.057[s], ept: 0.41/2.34[h]) loss_total: 0.431, acc_r: 0.800
(ep: 7, it: 31600, t: 0.057[s], ept: 0.49/2.34[h]) loss_total: 0.384, acc_r: 0.840
(ep: 7, it: 36600, t: 0.057[s], ept: 0.56/2.33[h]) loss_total: 0.516, acc_r: 0.710
(ep: 7, it: 41600, t: 0.057[s], ept: 0.64/2.33[h]) loss_total: 0.425, acc_r: 0.840
(ep: 7, it: 46600, t: 0.057[s], ept: 0.72/2.33[h]) loss_total: 0.489, acc_r: 0.730
(ep: 7, it: 51600, t: 0.057[s], ept: 0.79/2.33[h]) loss_total: 0.517, acc_r: 0.720
(ep: 7, it: 56600, t: 0.057[s], ept: 0.87/2.33[h]) loss_total: 0.570, acc_r: 0.680
(ep: 7, it: 61600, t: 0.057[s], ept: 0.95/2.33[h]) loss_total: 0.485, acc_r: 0.800
(ep: 7, it: 66600, t: 0.057[s], ept: 1.03/2.33[h]) loss_total: 0.479, acc_r: 0.780
(ep: 7, it: 71600, t: 0.057[s], ept: 1.10/2.33[h]) loss_total: 0.410, acc_r: 0.820
(ep: 7, it: 76600, t: 0.057[s], ept: 1.18/2.33[h]) loss_total: 0.542, acc_r: 0.780
(ep: 7, it: 81600, t: 0.057[s], ept: 1.26/2.33[h]) loss_total: 0.461, acc_r: 0.830
(ep: 7, it: 86600, t: 0.057[s], ept: 1.33/2.33[h]) loss_total: 0.430, acc_r: 0.840
(ep: 7, it: 91600, t: 0.057[s], ept: 1.41/2.33[h]) loss_total: 0.329, acc_r: 0.850
(ep: 7, it: 96600, t: 0.057[s], ept: 1.49/2.33[h]) loss_total: 0.427, acc_r: 0.790
(ep: 7, it: 101600, t: 0.057[s], ept: 1.56/2.33[h]) loss_total: 0.498, acc_r: 0.780
(ep: 7, it: 106600, t: 0.057[s], ept: 1.64/2.33[h]) loss_total: 0.482, acc_r: 0.800
(ep: 7, it: 111600, t: 0.057[s], ept: 1.72/2.33[h]) loss_total: 0.487, acc_r: 0.700
(ep: 7, it: 116600, t: 0.057[s], ept: 1.80/2.33[h]) loss_total: 0.453, acc_r: 0.810
(ep: 7, it: 121600, t: 0.057[s], ept: 1.87/2.33[h]) loss_total: 0.516, acc_r: 0.740
(ep: 7, it: 126600, t: 0.057[s], ept: 1.95/2.33[h]) loss_total: 0.445, acc_r: 0.770
(ep: 7, it: 131600, t: 0.057[s], ept: 2.03/2.33[h]) loss_total: 0.422, acc_r: 0.750
(ep: 7, it: 136600, t: 0.057[s], ept: 2.10/2.33[h]) loss_total: 0.486, acc_r: 0.780
(ep: 7, it: 141600, t: 0.057[s], ept: 2.18/2.33[h]) loss_total: 0.452, acc_r: 0.770
(ep: 7, it: 146600, t: 0.057[s], ept: 2.26/2.33[h]) loss_total: 0.421, acc_r: 0.820
(ep: 8, it: 200, t: 0.057[s], ept: 0.00/3.29[h]) loss_total: 0.471, acc_r: 0.760
(ep: 8, it: 5200, t: 0.057[s], ept: 0.08/2.36[h]) loss_total: 0.423, acc_r: 0.830
(ep: 8, it: 10200, t: 0.057[s], ept: 0.16/2.34[h]) loss_total: 0.507, acc_r: 0.770
(ep: 8, it: 15200, t: 0.057[s], ept: 0.23/2.34[h]) loss_total: 0.453, acc_r: 0.780
(ep: 8, it: 20200, t: 0.057[s], ept: 0.31/2.34[h]) loss_total: 0.604, acc_r: 0.700
(ep: 8, it: 25200, t: 0.057[s], ept: 0.39/2.34[h]) loss_total: 0.460, acc_r: 0.800
(ep: 8, it: 30200, t: 0.057[s], ept: 0.47/2.34[h]) loss_total: 0.387, acc_r: 0.850
(ep: 8, it: 35200, t: 0.057[s], ept: 0.54/2.33[h]) loss_total: 0.318, acc_r: 0.880
(ep: 8, it: 40200, t: 0.057[s], ept: 0.62/2.33[h]) loss_total: 0.406, acc_r: 0.810
(ep: 8, it: 45200, t: 0.057[s], ept: 0.70/2.33[h]) loss_total: 0.526, acc_r: 0.700
(ep: 8, it: 50200, t: 0.057[s], ept: 0.77/2.33[h]) loss_total: 0.447, acc_r: 0.770
(ep: 8, it: 55200, t: 0.057[s], ept: 0.85/2.33[h]) loss_total: 0.471, acc_r: 0.760
(ep: 8, it: 60200, t: 0.057[s], ept: 0.93/2.33[h]) loss_total: 0.533, acc_r: 0.730
(ep: 8, it: 65200, t: 0.057[s], ept: 1.00/2.33[h]) loss_total: 0.436, acc_r: 0.800
(ep: 8, it: 70200, t: 0.057[s], ept: 1.08/2.33[h]) loss_total: 0.398, acc_r: 0.790
(ep: 8, it: 75200, t: 0.057[s], ept: 1.16/2.33[h]) loss_total: 0.529, acc_r: 0.710
(ep: 8, it: 80200, t: 0.057[s], ept: 1.23/2.33[h]) loss_total: 0.403, acc_r: 0.810
(ep: 8, it: 85200, t: 0.057[s], ept: 1.31/2.33[h]) loss_total: 0.401, acc_r: 0.820
(ep: 8, it: 90200, t: 0.057[s], ept: 1.39/2.33[h]) loss_total: 0.481, acc_r: 0.780
(ep: 8, it: 95200, t: 0.057[s], ept: 1.47/2.33[h]) loss_total: 0.436, acc_r: 0.750
(ep: 8, it: 100200, t: 0.057[s], ept: 1.54/2.33[h]) loss_total: 0.555, acc_r: 0.790
(ep: 8, it: 105200, t: 0.057[s], ept: 1.62/2.33[h]) loss_total: 0.539, acc_r: 0.740
(ep: 8, it: 110200, t: 0.057[s], ept: 1.70/2.33[h]) loss_total: 0.521, acc_r: 0.780
(ep: 8, it: 115200, t: 0.057[s], ept: 1.77/2.33[h]) loss_total: 0.533, acc_r: 0.720
(ep: 8, it: 120200, t: 0.057[s], ept: 1.85/2.33[h]) loss_total: 0.489, acc_r: 0.750
(ep: 8, it: 125200, t: 0.057[s], ept: 1.93/2.33[h]) loss_total: 0.437, acc_r: 0.830
(ep: 8, it: 130200, t: 0.057[s], ept: 2.00/2.33[h]) loss_total: 0.496, acc_r: 0.770
(ep: 8, it: 135200, t: 0.057[s], ept: 2.08/2.33[h]) loss_total: 0.442, acc_r: 0.820
(ep: 8, it: 140200, t: 0.057[s], ept: 2.16/2.33[h]) loss_total: 0.425, acc_r: 0.760
(ep: 8, it: 145200, t: 0.057[s], ept: 2.24/2.33[h]) loss_total: 0.377, acc_r: 0.860
(ep: 8, it: 150200, t: 0.057[s], ept: 2.31/2.33[h]) loss_total: 0.351, acc_r: 0.840
(ep: 9, it: 3800, t: 0.057[s], ept: 0.06/2.37[h]) loss_total: 0.520, acc_r: 0.720
(ep: 9, it: 8800, t: 0.057[s], ept: 0.14/2.35[h]) loss_total: 0.454, acc_r: 0.790
(ep: 9, it: 13800, t: 0.057[s], ept: 0.21/2.34[h]) loss_total: 0.418, acc_r: 0.810
