(ep: 7, it: 136600, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.510, acc_r: 0.740
(ep: 7, it: 141600, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.459, acc_r: 0.800
(ep: 7, it: 146600, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.454, acc_r: 0.730
(ep: 8, it: 200, t: 0.004[s], ept: 0.00/0.32[h]) loss_total: 0.411, acc_r: 0.810
(ep: 8, it: 5200, t: 0.004[s], ept: 0.00/0.13[h]) loss_total: 0.484, acc_r: 0.750
(ep: 8, it: 10200, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.448, acc_r: 0.780
(ep: 8, it: 15200, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.358, acc_r: 0.810
(ep: 8, it: 20200, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.505, acc_r: 0.740
(ep: 8, it: 25200, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.447, acc_r: 0.750
(ep: 8, it: 30200, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.537, acc_r: 0.740
(ep: 8, it: 35200, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.386, acc_r: 0.820
(ep: 8, it: 40200, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.508, acc_r: 0.750
(ep: 8, it: 45200, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.510, acc_r: 0.740
(ep: 8, it: 50200, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.457, acc_r: 0.780
(ep: 8, it: 55200, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.490, acc_r: 0.760
(ep: 8, it: 60200, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.422, acc_r: 0.790
(ep: 8, it: 65200, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.395, acc_r: 0.810
(ep: 8, it: 70200, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.426, acc_r: 0.800
(ep: 8, it: 75200, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.490, acc_r: 0.730
(ep: 8, it: 80200, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.531, acc_r: 0.650
(ep: 8, it: 85200, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.497, acc_r: 0.810
(ep: 8, it: 90200, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.366, acc_r: 0.860
(ep: 8, it: 95200, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.412, acc_r: 0.830
(ep: 8, it: 100200, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.514, acc_r: 0.700
(ep: 8, it: 105200, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.403, acc_r: 0.800
(ep: 8, it: 110200, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.389, acc_r: 0.830
(ep: 8, it: 115200, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.466, acc_r: 0.750
(ep: 8, it: 120200, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.418, acc_r: 0.790
(ep: 8, it: 125200, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.427, acc_r: 0.770
(ep: 8, it: 130200, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.467, acc_r: 0.720
(ep: 8, it: 135200, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.415, acc_r: 0.810
(ep: 8, it: 140200, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.486, acc_r: 0.770
(ep: 8, it: 145200, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.528, acc_r: 0.700
(ep: 8, it: 150200, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.420, acc_r: 0.800
(ep: 9, it: 3800, t: 0.004[s], ept: 0.00/0.13[h]) loss_total: 0.525, acc_r: 0.790
(ep: 9, it: 8800, t: 0.004[s], ept: 0.01/0.13[h]) loss_total: 0.406, acc_r: 0.820
(ep: 9, it: 13800, t: 0.004[s], ept: 0.01/0.13[h]) loss_total: 0.405, acc_r: 0.820
